ebook_id,title,authors,author_birth_years,author_death_years,subjects,bookshelves,preliminary_role,period_bucket,inventory_status,landing_page_url,plain_text_url,fetched_url,cache_status,fetch_error,raw_character_count,cleaned_character_count,gutenberg_release_years,date_evidence_json,language_variety_evidence_json,selected_evidence_kind,selected_evidence_year_start,selected_evidence_year_end,selected_evidence_text,evidence_confidence,resolved_period_bucket,resolved_role,automatic_decision,resolution_status,manual_review_reasons,resolution_pass,authoritative_evidence_json,authoritative_selected_source,authoritative_record_id,authoritative_evidence_url,authoritative_evidence_year_start,authoritative_evidence_year_end,authoritative_evidence_text,authoritative_method,authoritative_confidence,authoritative_retrieved_at,authoritative_cache_sha256s,final_period_bucket,final_role,final_decision,final_resolution_status,final_activation_class,final_exclusion_reason
7121,Da Firenze a Digione: Impressioni di un reduce Garibaldino,"Socci, Ettore",1846,1905,"Garibaldi, Giuseppe, 1807-1882;Italy -- History -- 1849-1870",Category: Biographies;Category: History - European;Category: History - Warfare;IT Storia,date_and_role_review,author_died_after_1900_review,review_work_publication_date,https://www.gutenberg.org/ebooks/7121,https://www.gutenberg.org/ebooks/7121.txt.utf-8,https://www.gutenberg.org/ebooks/7121.txt.utf-8,hit,,519943,500253,2004;2013,[],"{""marker_counts"":{},""sample_character_count"":20000}",,,,,,,,manual_authoritative_review_required,manual_review,no_direct_period_evidence,pass_1b,"[{""source"":""sbn_iccu"",""record_id"":"""",""url"":""https://opac.sbn.it/o/opac-api/titles-search-full-post"",""retrieved_at"":""2026-08-10T12:47:54+00:00"",""payload_sha256"":""2cdbcb4788518a2014042cad400969cb602a629f1b42f01e44f04fb3e5f1550e"",""method"":""sbn_title_author_search_direct_match"",""year_start"":null,""year_end"":null,""text"":""query_title='Da Firenze a Digione'; total=4; inspected=4; direct_matches=4"",""confidence"":""high"",""decisive"":false},{""source"":""sbn_iccu"",""record_id"":""IEI0154556"",""url"":""https://opac.sbn.it/bid/IEI0154556"",""retrieved_at"":""2026-08-10T12:47:54+00:00"",""payload_sha256"":""5c208f3b1794b11f20ad5ef0639ff7cd33d3824ba3bf7766a0d7b57dc18f2f19"",""method"":""sbn_edition_publication_upper_bound"",""year_start"":1871,""year_end"":1871,""text"":""Socci, Ettore | Da Firenze a Digione : impressioni di un reduce garibaldino / per Ettore Socci | Prato : Tipografia sociale, 1871"",""confidence"":""high"",""decisive"":true},{""source"":""wikidata"",""record_id"":"""",""url"":""https://www.wikidata.org/w/api.php"",""retrieved_at"":""2026-08-10T12:48:52+00:00"",""payload_sha256"":""44a80d9502dbe18cd5d845844061b5ec9e9b0a423fe1a11b1a6652f3984e82fd"",""method"":""wikidata_no_direct_title_author_match"",""year_start"":null,""year_end"":null,""text"":""No direct work match for 'Da Firenze a Digione'."",""confidence"":""high"",""decisive"":false}]",sbn_iccu,IEI0154556,https://opac.sbn.it/bid/IEI0154556,1871,1871,"Socci, Ettore | Da Firenze a Digione : impressioni di un reduce garibaldino / per Ettore Socci | Prato : Tipografia sociale, 1871",sbn_edition_publication_upper_bound,high,2026-08-10T12:47:54+00:00,8523981490a4f6a387701321f388f19807612fbb6cddcdbfb9b77d6ed24ac583;a1d908703d969fd58b8bc2de86f051cdc519eee1f8fe7df3f041d7db7400814f;a58df79effa5dc8374761d3d7a1169438055758dde08d54c77a6d38004205d7b,nineteenth_century_bridge,nineteenth_century_bridge_candidate,eligible_nineteenth_century_candidate,pass_1b_authoritative_resolved,eligible_probe,
7267,Cardello,"Capuana, Luigi",1839,1915,Fiction,Category: Novels;IT Romanzi,date_and_role_review,author_died_after_1900_review,review_work_publication_date,https://www.gutenberg.org/ebooks/7267,https://www.gutenberg.org/ebooks/7267.txt.utf-8,https://www.gutenberg.org/ebooks/7267.txt.utf-8,hit,,155864,136438,2005;2012,[],"{""marker_counts"":{},""sample_character_count"":20000}",,,,,,,,manual_authoritative_review_required,manual_review,no_direct_period_evidence,pass_1b,"[{""source"":""sbn_iccu"",""record_id"":"""",""url"":""https://opac.sbn.it/o/opac-api/titles-search-full-post"",""retrieved_at"":""2026-08-10T12:48:52+00:00"",""payload_sha256"":""b73c910471d240ff676f61423067a998353213f6312eb75a9145b07e2cc7bd58"",""method"":""sbn_title_author_search_direct_match"",""year_start"":null,""year_end"":null,""text"":""query_title='Cardello'; total=25; inspected=25; direct_matches=23"",""confidence"":""high"",""decisive"":false},{""source"":""sbn_iccu"",""record_id"":""CUB0159117"",""url"":""https://opac.sbn.it/bid/CUB0159117"",""retrieved_at"":""2026-08-10T12:48:52+00:00"",""payload_sha256"":""9b30fc17e8624527750f0ad6280a674a4b33a6391661e94ce1aa49ddf5546215"",""method"":""sbn_edition_publication_upper_bound"",""year_start"":1907,""year_end"":1907,""text"":""Capuana, Luigi | Cardello : racconto / Luigi Capuana ; illustrato da G. G. Bruno | Milano [etc.] : R. Sandron, 1907"",""confidence"":""high"",""decisive"":true},{""source"":""wikidata"",""record_id"":"""",""url"":""https://www.wikidata.org/w/api.php"",""retrieved_at"":""2026-08-10T12:48:52+00:00"",""payload_sha256"":""85eb15750a376929bfa43942470f3db6d77f9a9b884a40e61b9b000863b74e82"",""method"":""wikidata_no_direct_title_author_match"",""year_start"":null,""year_end"":null,""text"":""No direct work match for 'Cardello'."",""confidence"":""high"",""decisive"":false}]",,,,,,,,,,5698829d7d5b6b6d38e87c370cdfb67893166a3fe4595f58a9ace6a51fd022b2;a080dc5f4e611b201d669bbd5a6160517b7524ce1e1cac8a7e42e84d7a4c7848;f4d6be0cf9e4387366dd3ac76eb1a8cd5d83cd60f8cc96667008cf35cc914245,unresolved_excluded,excluded_unresolved_authoritative_metadata,exclude_unresolved_authoritative_metadata,pass_1b_documented_exclusion,excluded,post_1900_or_undated_sbn_edition_does_not_prove_work_date
7459,Il Benefattore,"Capuana, Luigi",1839,1915,Italian literature,Category: Novels;IT Racconti,date_and_role_review,author_died_after_1900_review,review_work_publication_date,https://www.gutenberg.org/ebooks/7459,https://www.gutenberg.org/ebooks/7459.txt.utf-8,https://www.gutenberg.org/ebooks/7459.txt.utf-8,hit,,219105,199670,2005;2012,[],"{""marker_counts"":{""sicilian"":2},""sample_character_count"":20000}",,,,,,,,manual_authoritative_review_required,manual_review,no_direct_period_evidence,pass_1b,"[{""source"":""sbn_iccu"",""record_id"":"""",""url"":""https://opac.sbn.it/o/opac-api/titles-search-full-post"",""retrieved_at"":""2026-08-10T12:48:52+00:00"",""payload_sha256"":""dcdbb83ba0cb243b3ce07a74cb27c1ae763ee80c69ea2b9403e6658842f46c71"",""method"":""sbn_title_author_search_direct_match"",""year_start"":null,""year_end"":null,""text"":""query_title='Il Benefattore'; total=5; inspected=5; direct_matches=5"",""confidence"":""high"",""decisive"":false},{""source"":""sbn_iccu"",""record_id"":""PAL0061535"",""url"":""https://opac.sbn.it/bid/PAL0061535"",""retrieved_at"":""2026-08-10T12:48:52+00:00"",""payload_sha256"":""83fcd8429b5cd0b24771f95ac6b6c9debb88555338eba2393c66aff746605312"",""method"":""sbn_edition_publication_upper_bound"",""year_start"":1901,""year_end"":1901,""text"":""Capuana, Luigi | Il benefattore / Luigi Capuana | Milano : C. Aliprandi, \\1901?!"",""confidence"":""high"",""decisive"":true},{""source"":""wikidata"",""record_id"":"""",""url"":""https://www.wikidata.org/w/api.php"",""retrieved_at"":""2026-08-10T12:48:52+00:00"",""payload_sha256"":""88d7501207c03c7e499178a1cc74f080bef7a4aaf285433f205da3641ecf151a"",""method"":""wikidata_no_direct_title_author_match"",""year_start"":null,""year_end"":null,""text"":""No direct work match for 'Il Benefattore'."",""confidence"":""high"",""decisive"":false}]",,,,,,,,,,23e44f6bfb67edc837f919431a14004d23f15d7b440f316a26b9dd388d9a2edc;cb3e50cdaa9c68f8bcac076af852cc3268e207733e646bd4724fb37e8e0f78a7;fc62e8ad6d3be0e3470864a3ab7ea69d18da0e402865a3516d2db2df0ac2ca9a,unresolved_excluded,excluded_unresolved_authoritative_metadata,exclude_unresolved_authoritative_metadata,pass_1b_documented_exclusion,excluded,post_1900_or_undated_sbn_edition_does_not_prove_work_date
7781,La Vita Sul Pianeta Marte,"Schiaparelli, G. V. (Giovanni Virginio)",1835,1910,Life on other planets;Mars (Planet),Category: Science - Earth/Agricultural/Farming;IT Scienza,date_and_role_review,author_died_after_1900_review,review_work_publication_date,https://www.gutenberg.org/ebooks/7781,https://www.gutenberg.org/ebooks/7781.txt.utf-8,https://www.gutenberg.org/ebooks/7781.txt.utf-8,hit,,150984,131489,2005;2013,[],"{""marker_counts"":{},""sample_character_count"":20000}",,,,,,,,manual_authoritative_review_required,manual_review,no_direct_period_evidence,pass_1b,"[{""source"":""sbn_iccu"",""record_id"":"""",""url"":""https://opac.sbn.it/o/opac-api/titles-search-full-post"",""retrieved_at"":""2026-08-10T12:48:52+00:00"",""payload_sha256"":""49a23102b96dca55599de38e2d6775c3cd95f4734c9137f923b88409b215ded1"",""method"":""sbn_title_author_search_no_direct_match"",""year_start"":null,""year_end"":null,""text"":""query_title='La Vita Sul Pianeta Marte'; total=0; inspected=0; direct_matches=0"",""confidence"":""high"",""decisive"":false},{""source"":""sbn_iccu"",""record_id"":"""",""url"":""https://opac.sbn.it/o/opac-api/titles-search-full-post"",""retrieved_at"":""2026-08-10T13:08:07+00:00"",""payload_sha256"":""079aa3bce867b8fff6c5135f182b41d05d59f8b69510dc3efd7fe3255e100327"",""method"":""sbn_title_author_search_direct_match"",""year_start"":null,""year_end"":null,""text"":""query_title='La Vita Sul Pianeta Marte'; total=6; inspected=6; direct_matches=2"",""confidence"":""high"",""decisive"":false},{""source"":""sbn_iccu"",""record_id"":""PUV0724596"",""url"":""https://opac.sbn.it/bid/PUV0724596"",""retrieved_at"":""2026-08-10T13:08:07+00:00"",""payload_sha256"":""efd925022636122a7efb786b7d00d1776d14aff6655f09b26a2ebb635639e85f"",""method"":""sbn_edition_publication_upper_bound"",""year_start"":1895,""year_end"":1895,""text"":""Schiaparelli, Giovanni Virginio | La vita sul pianeta Marte / G. Schiaparelli | Milano : F. Vallardi, 1895"",""confidence"":""high"",""decisive"":true},{""source"":""wikidata"",""record_id"":"""",""url"":""https://www.wikidata.org/w/api.php"",""retrieved_at"":""2026-08-10T13:08:07+00:00"",""payload_sha256"":""6975086d2e47e72e127ea7ceff736f52a22e197751e3b641d022b7c57c63f687"",""method"":""wikidata_no_direct_title_author_match"",""year_start"":null,""year_end"":null,""text"":""No direct work match for 'La Vita Sul Pianeta Marte'."",""confidence"":""high"",""decisive"":false}]",sbn_iccu,PUV0724596,https://opac.sbn.it/bid/PUV0724596,1895,1895,"Schiaparelli, Giovanni Virginio | La vita sul pianeta Marte / G. Schiaparelli | Milano : F. Vallardi, 1895",sbn_edition_publication_upper_bound,high,2026-08-10T13:08:07+00:00,5dee501d49211d059d61cdd88b03df5fda5ec26bfe7897f373daee51cbddf503;a8108940a8ef694082819f8de39d7a851f5492c28b8cd6501f47c8a2bfd3b039;e5fa2bbe4f3dc9635418f169aacd10e1282a695d96d411107760abb3d0cf7cf9;fe83f22f2c248a3f7781025861b5bc9d699c08c14baa398709595ca3c1531fbc,nineteenth_century_bridge,nineteenth_century_bridge_candidate,eligible_nineteenth_century_candidate,pass_1b_authoritative_resolved,eligible_probe,
7817,"Alessandro Manzoni, Studio Biografico: Letture fatte alla Taylorian Institution di Oxford nel maggio dell'anno 1878, notevolmente ampliate","De Gubernatis, Angelo",1840,1913,"Manzoni, Alessandro, 1785-1873",Category: Biographies;IT Biografie,date_and_role_review,author_died_after_1900_review,review_work_publication_date,https://www.gutenberg.org/ebooks/7817,https://www.gutenberg.org/ebooks/7817.txt.utf-8,https://www.gutenberg.org/ebooks/7817.txt.utf-8,hit,,532922,513235,2005;2012,"[{""kind"":""title_page_edition_year"",""year_start"":1879,""year_end"":1879,""text"":""dell'anno 1878 | NOTEVOLMENTE AMPLIATE. | FIRENZE. | 1879. | INDICE DEL VOLUME. | A FEDERICO MAX MULLER | Proemio del Libro"",""confidence"":""medium""}]","{""marker_counts"":{""milanese"":1},""sample_character_count"":20000}",title_page_edition_year,1879,1879,dell'anno 1878 | NOTEVOLMENTE AMPLIATE. | FIRENZE. | 1879. | INDICE DEL VOLUME. | A FEDERICO MAX MULLER | Proemio del Libro,medium,nineteenth_century_bridge,nineteenth_century_bridge_candidate,eligible_nineteenth_century_candidate,automatic_resolved,,pass_1a,,,,,,,,,,,,nineteenth_century_bridge,nineteenth_century_bridge_candidate,eligible_nineteenth_century_candidate,pass_1a_resolved,eligible_probe,
9302,Nanà a Milano,"Arrighi, Cletto",1830,1906,Fiction,Category: Novels;IT Romanzi,date_and_role_review,author_died_after_1900_review,review_work_publication_date,https://www.gutenberg.org/ebooks/9302,https://www.gutenberg.org/ebooks/9302.txt.utf-8,https://www.gutenberg.org/ebooks/9302.txt.utf-8,hit,,472466,452932,2005;2013,"[{""kind"":""title_page_edition_year"",""year_start"":1880,""year_end"":1880,""text"":""EDIZIONE PRIMA | ____ | MILANO | 1880 | ENTRATURA | Gli svegliarini critici dei nostri giorni sono tanto scorbellati, che | se l'autore d'un libro non ha la precauzione di spiegarsi un poco, su"",""confidence"":""medium""}]","{""marker_counts"":{""milanese"":5},""sample_character_count"":20000}",title_page_edition_year,1880,1880,"EDIZIONE PRIMA | ____ | MILANO | 1880 | ENTRATURA | Gli svegliarini critici dei nostri giorni sono tanto scorbellati, che | se l'autore d'un libro non ha la precauzione di spiegarsi un poco, su",medium,nineteenth_century_bridge,nineteenth_century_bridge_candidate,eligible_nineteenth_century_candidate,automatic_resolved,,pass_1a,,,,,,,,,,,,nineteenth_century_bridge,nineteenth_century_bridge_candidate,eligible_nineteenth_century_candidate,pass_1a_resolved,eligible_probe,
9642,Poesie e novelle in versi,"Fontana, Ferdinando",1850,1919,Poetry,Category: Poetry;IT Poesia,historical_non_sonnet_poetry_candidate,author_died_after_1900_review,review_work_publication_date,https://www.gutenberg.org/ebooks/9642,https://www.gutenberg.org/ebooks/9642.txt.utf-8,https://www.gutenberg.org/ebooks/9642.txt.utf-8,hit,,174654,154984,2006;2021,"[{""kind"":""title_page_edition_year"",""year_start"":1877,""year_end"":1877,""text"":""E | NOVELLE IN VERSI | MILANO | 1877. | A ANTONIO GHISLANZONI | SCUOLA MODERNA[1] | AD ANTONIO GHISLANZONI,"",""confidence"":""medium""}]","{""marker_counts"":{},""sample_character_count"":20000}",title_page_edition_year,1877,1877,"E | NOVELLE IN VERSI | MILANO | 1877. | A ANTONIO GHISLANZONI | SCUOLA MODERNA[1] | AD ANTONIO GHISLANZONI,",medium,nineteenth_century_bridge,historical_non_sonnet_poetry_candidate,eligible_nineteenth_century_candidate,automatic_resolved,,pass_1a,,,,,,,,,,,,nineteenth_century_bridge,historical_non_sonnet_poetry_candidate,eligible_nineteenth_century_candidate,pass_1a_resolved,eligible_probe,
10502,Vecchie Storie,"De Marchi, Emilio",1851,1901,Fiction;Short stories,Category: Novels;IT Racconti,date_and_role_review,author_died_after_1900_review,review_work_publication_date,https://www.gutenberg.org/ebooks/10502,https://www.gutenberg.org/ebooks/10502.txt.utf-8,https://www.gutenberg.org/ebooks/10502.txt.utf-8,hit,,151799,132466,2003;2024,[],"{""marker_counts"":{""dialect"":2},""sample_character_count"":20000}",,,,,,,,manual_authoritative_review_required,manual_review,no_direct_period_evidence,pass_1b,"[{""source"":""sbn_iccu"",""record_id"":"""",""url"":""https://opac.sbn.it/o/opac-api/titles-search-full-post"",""retrieved_at"":""2026-08-10T12:48:52+00:00"",""payload_sha256"":""8499e81dddba32aa7073a8bf6cfb9ffbbbd2f69e5199c57a718d9a5b3d22e327"",""method"":""sbn_title_author_search_direct_match"",""year_start"":null,""year_end"":null,""text"":""query_title='Vecchie Storie'; total=2; inspected=2; direct_matches=2"",""confidence"":""high"",""decisive"":false},{""source"":""sbn_iccu"",""record_id"":""CUB0399331"",""url"":""https://opac.sbn.it/bid/CUB0399331"",""retrieved_at"":""2026-08-10T12:48:52+00:00"",""payload_sha256"":""f85bb342e8e32067d06f42e42fb8b7b8ddc1e94cd82fafec500cdd51bf9e91c6"",""method"":""sbn_edition_publication_upper_bound"",""year_start"":1926,""year_end"":1926,""text"":""De Marchi, Emilio <1851-1901> | Vecchie storie / Emilio De Marchi | Milano : F.lli Treves, 1926"",""confidence"":""high"",""decisive"":true},{""source"":""wikidata"",""record_id"":"""",""url"":""https://www.wikidata.org/w/api.php"",""retrieved_at"":""2026-08-10T12:48:52+00:00"",""payload_sha256"":""ec796238488d0a74bcfec4a247bde8d0fe043fde27aa66931c3fd6cf087294cb"",""method"":""wikidata_no_direct_title_author_match"",""year_start"":null,""year_end"":null,""text"":""No direct work match for 'Vecchie Storie'."",""confidence"":""high"",""decisive"":false}]",,,,,,,,,,bb6133f609bce2127409e2f89eb62f81c5986ab1ac9f62fbc1d1fe142f30e97d;dc5647ac3ec67520d6a8abbdee18b60555207e5c8e52162493e1dacc9a827531;f4c5d77ea6d6a0808e1609f14e611732baf090bb910c6693701af4130694c9c7,unresolved_excluded,excluded_unresolved_authoritative_metadata,exclude_unresolved_authoritative_metadata,pass_1b_documented_exclusion,excluded,post_1900_or_undated_sbn_edition_does_not_prove_work_date
11206,Compendio di Chimica Fisiologica,"Cominelli, A. (Alfredo)",,,"Chemistry, Physical and theoretical",Category: Science - Chemistry/Biochemistry;IT Scienza,date_and_role_review,unknown,review_missing_period_evidence,https://www.gutenberg.org/ebooks/11206,https://www.gutenberg.org/ebooks/11206.txt.utf-8,https://www.gutenberg.org/ebooks/11206.txt.utf-8,hit,,148581,129021,2004;2024,"[{""kind"":""title_page_edition_year"",""year_start"":1896,""year_end"":1896,""text"":""PER | A. COMINELLI | NAPOLI | 1896 | AL PADRE MIO | CHE NON LEGGERÀ QUESTE PAGINE | La chimica biologica è la parte più importante della fisiologia"",""confidence"":""medium""}]","{""marker_counts"":{},""sample_character_count"":20000}",,,,,,,,manual_authoritative_review_required,manual_review,edition_proves_pre_1901_eligibility_but_work_period_is_ambiguous,pass_1b,"[{""source"":""sbn_iccu"",""record_id"":"""",""url"":""https://opac.sbn.it/o/opac-api/titles-search-full-post"",""retrieved_at"":""2026-08-10T12:48:52+00:00"",""payload_sha256"":""9ae4553b8ff7e42e7578be6ff4799b18f4f7d6bda013b1dc40656b563b58ca3d"",""method"":""sbn_title_author_search_no_direct_match"",""year_start"":null,""year_end"":null,""text"":""query_title='Compendio di Chimica Fisiologica'; total=0; inspected=0; direct_matches=0"",""confidence"":""high"",""decisive"":false},{""source"":""sbn_iccu"",""record_id"":"""",""url"":""https://opac.sbn.it/o/opac-api/titles-search-full-post"",""retrieved_at"":""2026-08-10T13:08:07+00:00"",""payload_sha256"":""e4467abb82981a4b8fcd09b047a94205a606089af9d65596c20bbf26a2a46d31"",""method"":""sbn_title_author_search_direct_match"",""year_start"":null,""year_end"":null,""text"":""query_title='Compendio di Chimica Fisiologica'; total=3; inspected=3; direct_matches=1"",""confidence"":""high"",""decisive"":false},{""source"":""sbn_iccu"",""record_id"":""CUB0203102"",""url"":""https://opac.sbn.it/bid/CUB0203102"",""retrieved_at"":""2026-08-10T13:08:07+00:00"",""payload_sha256"":""e79e4d300fcfe085aece519a825fb44750b0e607080cc5ccfaedcef3cfb80e30"",""method"":""sbn_edition_publication_upper_bound"",""year_start"":1896,""year_end"":1896,""text"":""Cominelli, Alfredo | Compendio di Chimica fisiologica | Napoli : Tip. F. Sangiovanni, 1896"",""confidence"":""high"",""decisive"":true},{""source"":""wikidata"",""record_id"":"""",""url"":""https://www.wikidata.org/w/api.php"",""retrieved_at"":""2026-08-10T13:08:07+00:00"",""payload_sha256"":""423859619ce4c04c76b03fd37c71aada44787c6e24db95bf8447842ac0ccbbea"",""method"":""wikidata_no_direct_title_author_match"",""year_start"":null,""year_end"":null,""text"":""No direct work match for 'Compendio di Chimica Fisiologica'."",""confidence"":""high"",""decisive"":false},{""source"":""project_gutenberg_primary_text"",""record_id"":""pg11206"",""url"":""https://www.gutenberg.org/ebooks/11206"",""retrieved_at"":""2026-08-09"",""payload_sha256"":"""",""method"":""project_gutenberg_title_page_edition_upper_bound"",""year_start"":1896,""year_end"":1896,""text"":""PER | A. COMINELLI | NAPOLI | 1896 | AL PADRE MIO | CHE NON LEGGERÀ QUESTE PAGINE | La chimica biologica è la parte più importante della fisiologia"",""confidence"":""medium"",""decisive"":true}]",project_gutenberg_primary_text,pg11206,https://www.gutenberg.org/ebooks/11206,1896,1896,PER | A. COMINELLI | NAPOLI | 1896 | AL PADRE MIO | CHE NON LEGGERÀ QUESTE PAGINE | La chimica biologica è la parte più importante della fisiologia,project_gutenberg_title_page_edition_upper_bound,medium,2026-08-09,684863ba6c07b89cba77faa9945646fbcc0b25a692eba5efd89d10545c733aa5;6877ab1902aae95f938c1d22be465abdca56b6c9a3542d7c606f2601ac6fa839;a8a71afad1344b56e13f6819a1d8ff18b7571db7ddd45373a897d1339375ec95;fb8707567db3ddbdf3e13870417e85322dbf11ca15f62ed82c72919cd34d2761,nineteenth_century_bridge,nineteenth_century_bridge_candidate,eligible_nineteenth_century_candidate,pass_1b_authoritative_resolved,eligible_probe,
11305,La Campagna del 1796 nel Veneto: Parte prima: La decadenza militare della serenissima uomini ed armi,"Barbarich, Eugenio",1868,1931,Venice (Italy) -- History,Category: History - European;Category: History - Modern (1750+);Category: History - Warfare;IT Storia,date_and_role_review,author_died_after_1900_review,review_work_publication_date,https://www.gutenberg.org/ebooks/11305,https://www.gutenberg.org/ebooks/11305.txt.utf-8,https://www.gutenberg.org/ebooks/11305.txt.utf-8,hit,,298233,278914,2004;2024,"[{""kind"":""title_page_edition_year"",""year_start"":1910,""year_end"":1910,""text"":""UOMINI ED ARMI | ROMA ENRICO VOGHERA, EDITORE | ---- | 1910 | Roma, 1909.--Tip. E. Voghera | INDICE | I.--Le fonti della milizia veneta"",""confidence"":""medium""}]","{""marker_counts"":{""venetian"":4},""sample_character_count"":20000}",,,,,,,,manual_authoritative_review_required,manual_review,post_1900_edition_does_not_prove_work_first_publication,pass_1b,"[{""source"":""sbn_iccu"",""record_id"":"""",""url"":""https://opac.sbn.it/o/opac-api/titles-search-full-post"",""retrieved_at"":""2026-08-10T12:48:52+00:00"",""payload_sha256"":""1911b7aef57a166ef616991610535c2ddc98ea32a59c35442a6026dec527792a"",""method"":""sbn_title_author_search_direct_match"",""year_start"":null,""year_end"":null,""text"":""query_title='La Campagna del 1796 nel Veneto'; total=3; inspected=3; direct_matches=2"",""confidence"":""high"",""decisive"":false},{""source"":""sbn_iccu"",""record_id"":""UBO0283928"",""url"":""https://opac.sbn.it/bid/UBO0283928"",""retrieved_at"":""2026-08-10T12:48:52+00:00"",""payload_sha256"":""d2579dd5c37ddaa499941b55f81b2014b8c3a2abd26f2f90284445d8dff78112"",""method"":""sbn_edition_publication_upper_bound"",""year_start"":1910,""year_end"":1910,""text"":""Barbarich, Eugenio | La campagna del 1796 nel Veneto / Eugenio Barbarich | Roma : E. Voghera, 1910"",""confidence"":""high"",""decisive"":true},{""source"":""wikidata"",""record_id"":"""",""url"":""https://www.wikidata.org/w/api.php"",""retrieved_at"":""2026-08-10T12:48:52+00:00"",""payload_sha256"":""ea377f0d4df6f3f5a258d69c890763c1a5d2107ded8d539d0ce33d444972710d"",""method"":""wikidata_no_direct_title_author_match"",""year_start"":null,""year_end"":null,""text"":""No direct work match for 'La Campagna del 1796 nel Veneto'."",""confidence"":""high"",""decisive"":false}]",,,,,,,,,,8eae20caccc8cb5c72a29178dad0709e0b3cadac5f95b5872a409a33a9fe67e6;d0c85e9a75d6eac9df4915095e3d1f458b94a092b79f16aa2c1e7b89f0194b03;fabf3c36ea65eaed0e6a09927968dd5d23faf11b6bada5c1c8addc12ab1f9178,unresolved_excluded,excluded_unresolved_authoritative_metadata,exclude_unresolved_authoritative_metadata,pass_1b_documented_exclusion,excluded,post_1900_or_undated_sbn_edition_does_not_prove_work_date
